date,type,header,text,video,photo,Credit_photo/video,coordinates,coordinates_text,map_poly,map_lines,map_points,focus_point,zoom,idToShow
2022-02-23,civil,Теплий вечір перед війною,"23 лютого в Маріуполі було тепло — приблизно +15, що дивно навіть для південного міста. І незвичайно тихо. Так тихо, що аж моторошно. Можливо, відчуття тривоги, яке того вечора ширилося містом, зʼявилося не випадково. Щось дивне напередодні відбувалося в окупованому Донецьку. Тривоги, незрозумілі обстріли, примусова евакуація людей. Росіяни не займалися евакуацією 8 років війни, аж раптом… Усе свідчило, що наближається щось страшне. Але того теплого й тихого вечора про таке не хотілося думати.
На пірсі було багато людей. Вони гуляли, вдихали солоне морське повітря та закарбовували цю красу й тишу у своєму серці. Так, про всяк випадок, а раптом це востаннє…",,2402_mariupol2.jpg,,,,,,,"47.11, 37.57",12,
2022-02-23,war,Укріплення позицій,"За кілька днів до 24 лютого керівництво військових частин і правоохоронців міста не мало сумнівів щодо повномасштабного вторгнення. В ""Азові"" (тоді – Окремий загін спецпризначення (ОСЗП), тепер – штурмова бригада у складі Нацгвардії – ред.) розробили протоколи дій: особовий склад – у вищій готовності, важка техніка виїхала в район Мангуша під виглядом навчань. Патрульна поліція звела укріплення навколо своєї бази, організувала навчання з розгортання особового складу та швидкісного супроводження автоколон.",,,,,,,,,"47.11, 37.57",12,
2022-02-23,war,Перші обстріли,"На лінії зіткнення на схід від міста загострення почалося задовго до 24 лютого – 36-та ОБрМП, яка займала позиції на лінії від Піщовика до узбережжя Азовського моря, зазнавала ударів, але тримала лінію оборони.",,,,,,walls_poly.geojson,walls_line.geojson,,"47.161494856269094, 37.53698025429447",11,"1,2,3,4,5,6,7,8,9"
2022-02-24,civil,Канонада о 5-тій ранку,"О 05:00 Маріуполь здригнувся від канонади. Небо над Лівобережжям було червоне. Завили сирени, попереджаючи про повітряну тривогу, – і це виття чомусь переривалось якоюсь дивною попсовою музикою. Просто сюр, який лякав.
Як і у 2014-му, Лівобережжя й мікрорайон Східний першими потрапили під обстріли ворожої артилерії. А селища на околицях Маріуполя – Талаківка, Сартана, Старий Крим, Гнутове – прокинулися від обстрілів ще раніше, близько 04:00.",2402_east_attack.mp4,,,,,,,,"47.11, 37.57",12,
2022-02-24,war,Зіткнення біля Піщовика,"Путін завершив свою нічну промову (з 23 на 24 лютого), й за мить у Маріуполі почалися вибухи. Їх чули за 15 км на захід від міста. Першими удар прийняли морпіхи 36-ї ОБрМП на сході Маріуполя.
Ось як розповідає про той день Кирило ""Лірік"", командир взводу 36-ї ОБрМП, який був на позиції біля селища Піщовик:
– О п’ятій ранку прилетіли близько 20 снарядів з “Градів”. Перебило світло, але шкоди від них було менше, ніж від “120-х” мін напередодні. О 6:30 запрацювати міномети. Зв’язок глушили, дізнатися загальну обстановку було майже нереально. ",,,,"47.270555, 37.771671",,,,,"47.270555, 37.771671",12,
2022-02-25,war,Морпіхи відступають,"Трохи згодом почувся гуркіт важкої техніки. Нам вдалося підбити один російський танк, але цього було надто мало.
Знову запрацювали міномети, на горизонті з’явилися перші БМП-2 противника з піхотою. Одну з них ми підбили гранатометом.
Вдалося зв’язатися з командуванням – отримали команду відходити, сили мали нерівні.
Устигли взяти лише найважливіше: документи, тепловізор і “нічник”, радіостанції та прилади спостереження. Боєкомплект забрати не могли – його підпалили, разом з ним згоріла й решта речей. 
Відійшли до тилового пункту управління. Дорогою нас забрав БТР. Далі потрібно було дійти до наступної лінії оборони, поповнити боєкомплект і зайняти інші позиції.",,,,,,,,,,,
2022-02-24,civil,Маріупольці йдуть на роботу,"Важкий ранок. Кожен мав обрати для себе стратегію поведінки. І слід сказати, що більшість людей у Маріуполі обрала тактику, якій слідувала останні 8 років гібридної війни: хоч би що відбувалося – треба йти на роботу. Так було й цього разу. Заводські автобуси везли людей на комбінати, немов нічого не сталося. Бо заводи для маріупольців упродовж десятків років були острівцем стабільності та зрозумілості. Хоч би що відбувалося – сталь вариться. Навіть під час Другої світової війни так було. Але не зараз.
Уже першого дня війни керівництво комбінату імені Ілліча та ""Азовсталі"" ухвалило рішення призупинити виробництво. Спочатку це була ""гаряча"" зупинка, що давала змогу швидко перезапустити виробництво. Але невдовзі стало зрозуміло, що треба зупиняти металургійні печі. Почалася війна.",,,,,,,,,"47.11, 37.57",12,
2022-02-24,war,Аеропорт,"Водночас теж о 6:30 бійці ОЗСП “АЗОВ” на базах у Юр’ївці та Урзуфі завантажили зброю й колонами рушили до Маріуполя. 
Частина танків “АЗОВа” заїхала на територію Міжнародного аеропорту Маріуполя, де після закриття у 2014 році було створено базу оборонців міста. 


",,,,"47.077161, 37.462718","Маріупольський аеропорт, база оборонців міста",,sectors_line.geojson,,"47.11, 37.57",11,"1,2,3,4"
2022-02-24,war,Чотири сектори оборони,"– 21–22 лютого місто поділили на чотири сектори, – розповідає Давід Касаткін, лейтенант 2-го батальону ОЗСП “АЗОВ”. – За два з них відповідали наші 1-й і 2-й батальони. Ми з командиром мого батальону Микитою Надточієм їздили по підрозділах, підпорядкованих нам у рамках сектору оборони, щоб зібрати інформацію про кількість людей і зброї.
У прикордонній службі нам не відповіли – сказали, немає наказу керівництва.
Зранку 23 лютого мене відправили в аеропорт до штабу протидесантної оборони. Там був його керівник – полковник, а також оперативники від різних військових підрозділів. Я на цій зустрічі представляв ""АЗОВ"". У мене в підпорядкуванні була рота та група швидкого реагування з 40 бійців, призначена для висування в місця десантування або проривів.",,,,,,sectors_poly.geojson,,,,,
2022-02-24,war,Ворожі судна в морі. Шок і паніка,"– 24 лютого о 04:00 ми побачили на дисплеї, що з боку Єйська Азовським морем до Маріуполя рушили два величезні судна, –  продовжує Давід Касаткін з “АЗОВа”. – Полковник натис на кнопку тривоги та скомандував мінувати акваторію й висуватися в район зосередження. Усі оперативники віддали відповідні накази своїм підрозділам.
“Азовці” мали чекати на накази в домовленому місці. В інших підрозділах почалася паніка. Одна жінка просто питала: ""Що мені робити? Що мені робити?"". 
Люди, які досі не брали участі в бойових діях, були шокованими. Судна з Єйська маневрували в морі. ",,,,"46.90484, 37.87134","В морі помічені ворожі судна, що рухалися з  напрямку Єйська",,,,"46.90484, 37.87134",14,
